"The recipe","Source file count","Source file changed count","Cumulative scanning time (ns)","99th percentile scanning time (ns)","Max scanning time (ns)","Cumulative edit time (ns)","99th percentile edit time (ns)","Max edit time (ns)"
"The recipe whose stats are being measured both individually and cumulatively.","The number of source files the recipe ran over.","The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.","The total time spent across the scanning phase of this recipe.","99 out of 100 scans completed in this amount of time.","The max time scanning any one source file.","The total time spent across the editing phase of this recipe.","99 out of 100 edits completed in this amount of time.","The max time editing any one source file."
"org.openrewrite.java.spring.boot2.SpringBootProperties_2_7","8","2","22674","14320.0","13937","12846","3808.0","3737"
"org.openrewrite.java.spring.boot2.SpringBootProperties_2_5","8","2","9848","2672.0","2665","12805","3296.0","3236"
"org.openrewrite.java.spring.boot2.SpringBootProperties_2_6","8","2","9466","2800.0","2785","10529","2912.0","2875"
"org.openrewrite.java.spring.boot2.MigrateMultipartConfigFactory","8","2","0","0.0","0","127730","55280.0","54472"
"org.openrewrite.java.spring.boot2.RestTemplateBuilderRequestFactory","8","2","0","0.0","0","218700","118776.0","116228"
"org.openrewrite.java.spring.boot2.SpringBootProperties_2_3","8","2","8396","2808.0","2805","12781","3552.0","3496"
"org.openrewrite.java.spring.boot2.SpringBootProperties_2_4","8","2","11490","2928.0","2835","7564","2800.0","2735"
"org.openrewrite.java.spring.boot2.SpringBootProperties_2_1","8","2","8656","2928.0","2816","15469","3776.0","3827"
"org.openrewrite.java.spring.framework.MigrateInstantiationAwareBeanPostProcessorAdapter","8","2","0","0.0","0","116199","65520.0","64641"
"org.openrewrite.java.spring.boot2.SpringBootProperties_2_2","8","2","9115","2928.0","2895","21401","5856.0","5751"
"org.openrewrite.java.spring.boot2.SpringBootProperties_2_0","8","2","11661","3552.0","3547","10801","3552.0","3537"
"org.openrewrite.java.testing.junit5.ExpectedExceptionToAssertThrows","8","2","0","0.0","0","114356","51184.0","49523"
"org.openrewrite.java.testing.junit5.AssertToAssertions","8","2","0","0.0","0","118993","53232.0","51246"
"org.openrewrite.java.testing.mockito.PowerMockitoMockStaticToMockito","8","2","0","0.0","0","106181","27632.0","27481"
"org.openrewrite.java.testing.junit5.UpgradeSurefirePlugin","8","2","0","0.0","0","21722","12768.0","12313"
"org.openrewrite.openapi.swagger.MigrateSwaggerDefinitionToOpenAPIDefinition","8","2","0","0.0","0","87956","40944.0","40265"
"org.openrewrite.java.spring.boot2.MigrateConfigurationPropertiesBindingPostProcessorValidatorBeanName","8","2","0","0.0","0","103994","40944.0","39494"
"org.openrewrite.java.testing.dbrider.ExecutionListenerToDbRiderAnnotation","8","2","0","0.0","0","112561","59376.0","57758"
"org.openrewrite.java.spring.doc.MigrateDocketBeanToGroupedOpenApiBean","8","2","3005518","2620928.0","2515518","39806","17280.0","16451"
"org.openrewrite.java.DeleteMethodArgument","8","2","0","0.0","0","103770","17400.0","16952"
"org.openrewrite.java.testing.mockito.ReplaceInitMockToOpenMock","8","2","0","0.0","0","17392","4080.0","3997"
"org.openrewrite.openapi.swagger.SwaggerToOpenAPI","8","2","7702","2672.0","2595","6271","1712.0","1683"
"org.openrewrite.java.spring.boot2.MigrateUndertowServletWebServerFactoryIsEagerInitFilters","8","2","11589","2800.0","2715","7756","2800.0","2806"
"org.openrewrite.openapi.swagger.MigrateApiModelToSchema","8","2","7234","2416.0","2385","11181","2912.0","2875"
"org.openrewrite.java.spring.CommentOutSpringPropertyKey","8","2","0","0.0","0","4611565","24572.0","295554"
"org.openrewrite.java.testing.junit5.UseHamcrestAssertThat","8","2","0","0.0","0","18083","13808.0","13345"
"org.openrewrite.java.testing.junit5.RunnerToExtension","8","2","0","0.0","0","353982","73720.0","70472"
"org.openrewrite.java.testing.junit5.UseWiremockExtension","8","2","0","0.0","0","96600","45040.0","43822"
"org.openrewrite.maven.UpgradeParentVersion","8","2","0","0.0","0","6113726643","3.489660924E9","3441946198"
"org.openrewrite.java.testing.arquillian.ReplaceArquillianInSequenceAnnotation","8","2","0","0.0","0","97582","42976.0","42269"
"org.openrewrite.java.spring.DeleteSpringProperty","8","2","0","0.0","0","282793","196600.0","194304"
"org.openrewrite.java.spring.boot2.MigrateRestClientBuilderCustomizerPackageName","8","2","12433","2928.0","2925","11792","3808.0","3837"
"org.openrewrite.java.ChangeAnnotationAttributeName","8","2","0","0.0","0","1176074","43000.0","42981"
"org.openrewrite.java.spring.boot2.SpringBoot2BestPractices","8","2","11510","3056.0","3066","22433","5088.0","5040"
"org.openrewrite.java.spring.framework.EnvironmentAcceptsProfiles","8","2","0","0.0","0","39475","6136.0","6141"
"org.openrewrite.openapi.swagger.MigrateApiParamDefaultValue","8","2","0","0.0","0","17913","4856.0","4739"
"org.openrewrite.java.spring.boot2.MigrateHibernateConstraintsToJavax","8","2","9700","3312.0","3306","16182","3936.0","3858"
"org.openrewrite.java.spring.data.UpgradeSpringData_2_7","8","2","11119","3696.0","3606","15159","6640.0","6573"
"org.openrewrite.java.testing.mockito.Mockito1to4Migration","8","2","58082","47072.0","46327","11573","3680.0","3677"
"org.openrewrite.gradle.plugins.UpgradePluginVersion","8","2","3389588","1834944.0","1822882","1977866","688000.0","671740"
"org.openrewrite.java.spring.boot2.MigrateDatabaseCredentials$MigrateDatabaseCredentialsForToolProperties","8","2","0","0.0","0","215176","172028.0","166743"
"org.openrewrite.java.spring.boot2.MigrateDatabaseCredentials","8","2","0","0.0","0","1482","476.0","471"
"org.openrewrite.java.spring.boot2.MaybeAddJavaxValidationApi","8","2","21080","12768.0","12343","14055","3808.0","3777"
"org.openrewrite.java.spring.framework.MigrateHandlerInterceptor","8","2","0","0.0","0","101811","42992.0","42279"
"org.openrewrite.java.testing.junit5.AddMissingNested","8","2","0","0.0","0","424865","180216.0","179076"
"org.openrewrite.java.spring.data.UpgradeSpringData_2_3","8","2","26387","3064.0","3065","21669","4088.0","4068"
"org.openrewrite.java.testing.junit5.JUnit4to5Migration","8","2","13085","3296.0","3206","6483","2928.0","2926"
"org.openrewrite.java.spring.data.UpgradeSpringData_2_5","8","2","24305","6648.0","6532","13719","3440.0","3447"
"org.openrewrite.java.spring.boot2.MigrateApplicationHealthIndicatorToPingHealthIndicator","8","2","13126","3552.0","3547","10287","3808.0","3717"
"org.openrewrite.java.testing.mockito.RemoveInitMocksIfRunnersSpecified","8","2","0","0.0","0","20739","5624.0","5480"
"org.openrewrite.maven.RemoveProperty","8","2","0","0.0","0","157937","163836.0","156875"
"org.openrewrite.java.testing.junit5.VertxUnitToVertxJunit5","8","2","15369","3168.0","3175","17884","5312.0","5220"
"org.openrewrite.java.dependencies.RemoveDependency","8","2","2010834","786400.0","765646","6727968","1572608.0","1534398"
"org.openrewrite.java.spring.boot2.OutputCaptureExtension","8","2","0","0.0","0","170911","73712.0","71985"
"org.openrewrite.java.ChangePackage","8","2","0","0.0","0","885770","138752.0","137919"
"org.openrewrite.java.testing.junit5.ParameterizedRunnerToParameterized","8","2","0","0.0","0","116287","45024.0","43151"
"org.openrewrite.java.testing.junit5.CategoryToTag","8","2","0","0.0","0","88476","40944.0","40656"
"org.openrewrite.java.spring.NoRequestMappingAnnotation","8","2","0","0.0","0","536186","442336.0","426710"
"org.openrewrite.java.spring.boot2.MigrateToWebServerFactoryCustomizer","8","2","14196","4848.0","4709","12235","4320.0","4279"
"org.openrewrite.java.spring.boot2.SamlRelyingPartyPropertyApplicationPropertiesMove","8","2","0","0.0","0","46568","45040.0","43462"
"org.openrewrite.apache.commons.lang.UpgradeApacheCommonsLang_2_3","8","2","15110","7664.0","7494","13618","3552.0","3527"
"org.openrewrite.java.spring.framework.UpgradeSpringFramework_5_1","8","2","18783","4600.0","4478","17463","6896.0","6843"
"org.openrewrite.java.spring.framework.UpgradeSpringFramework_5_2","8","2","22042","3056.0","3046","16884","3568.0","3567"
"org.openrewrite.java.spring.framework.UpgradeSpringFramework_5_3","8","2","12084","3568.0","3527","15659","8160.0","7945"
"org.openrewrite.java.spring.framework.UpgradeSpringFramework_5_0","8","2","28008","4600.0","4489","31679","4336.0","4198"
"org.openrewrite.java.testing.mockito.AnyToNullable","8","2","1015734","753408.0","748975","82834","53120.0","52929"
"org.openrewrite.java.testing.mockito.NoInitializationForInjectMock","8","2","0","0.0","0","58098","17392.0","17032"
"org.openrewrite.java.testing.junit5.UpdateTestAnnotation","8","2","0","0.0","0","1490404","524272.0","518071"
"org.openrewrite.java.dependencies.UpgradeDependencyVersion","8","2","287271476","4062720.0","154005931","74395632","2752000.0","8502809"
"org.openrewrite.java.testing.mockito.Mockito1to3Migration","8","2","11832","3296.0","3246","13826","6880.0","6693"
"org.openrewrite.java.dependencies.AddDependency","8","2","59567717","7339008.0","35565010","3099019","85504.0","353533"
"org.openrewrite.java.testing.junit5.MigrateJUnitTestCase","8","2","0","0.0","0","179647","73712.0","70742"
"org.openrewrite.java.spring.boot2.MigrateRestTemplateBuilderBasicAuthorization","8","2","10562","3184.0","3136","10689","3936.0","3867"
